station_id,station_name,nb_available_bikes
16107,Benjamin Godard - Victor Hugo,32
6015,André Mazet - Saint-André des Arts,34
11037,Faubourg Du Temple - Republique,17
9020,Toudouze - Clauzel,13
11104,Charonne - Robert et Sonia Delauney,13
12109,Mairie du 12ème,14
7003,Square Boucicaut,23
5001,Harpe - Saint-Germain,1
14014,Jourdan - Stade Charléty,40
17026,Jouffroy d'Abbans - Wagram,0
17041,Guersant - Gouvion-Saint-Cyr,27
10013,Alibert - Jemmapes,46
9104,Caumartin - Provence,19
14111,Cassini - Denfert-Rochereau,19
6003,Saint-Sulpice,9
13007,Le Brun - Gobelins,36
5110,Lacépède - Monge,21
6108,Saint-Romain - Cherche-Midi,15
33006,André Karman - République,30
42016,Pierre et Marie Curie - Maurice Thorez,20
41301,Bois de Vincennes - Gare,46
21010,Silly - Galliéni,0
6021,Beaux-Arts - Bonaparte,8
25006,Place Nelson Mandela,16
10152,Gare du Nord - Place de Valenciennes,11
17038,Grande Armée - Brunel,49
7004,Raspail - Varenne,4
5016,Thouin - Cardinal Lemoine,12
11025,Froment - Bréguet,0
15047,Morillons - Dantzig,52
15028,Grenelle - Dr Finlay,28
17025,Chazelles - Courcelles,0
13101,Croulebarde - Corvisart,26
20143,Ramponeau - Belleville,25
14108,Le Brix et Mesmin - Jourdan,21
31024,Romainville - Vaillant-Couturier,27
47007,Liberté - Vert-de-Maisons,11
17044,Porte de Saint-Ouen - Bessières,35
31702,Pierre et Marie Curie - Julien Grimau,10
15026,Bir Hakeim,28
44017,Jules Guesde - Pont du Port à l'Anglais,16
19033,Cambrai - Benjamin Constant,0
17048,De Toqueville - Terrasse,0
16118,Michel-Ange - Parent de Rosan,22
43002,Lagny - Victor Basch,10
19027,Serrurier,12
21216,Louis Lejeune - Barbès,23
15068,Général Martial Valin - Pont du Garigliano,11
42027,Verdun - Pierre et Marie Curie,0
22207,Rond-point du Dr Albert Schweitzer,19
18015,Custine - Ramey,33
8050,Boétie - Ponthieu,27
92002,Théâtre des Amandiers - Palais des sports,10
6029,Vaugirard - Monsieur le Prince,19
20035,Pyrénées - Ménilmontant,23
2017,Caire - Dussoubs,30
9008,Tour d'Auvergne - Rodier,14
7113,Berges de Seine - Musée d'Orsay,12
7009,Assemblée Nationale,53
10027,Dunkerque - Alsace,9
8048,Marceau - Chaillot,12
14013,Liard - Amiral Mouchez,0
12031,Gabriel Lamé,0
7011,Las Cases - Bourgogne,8
18111,Félix Ziem - Armand Gauthier,18
17010,Jonquière - Docteur Paul Brousse,29
41303,Gare de Nogent-le-Perreux,11
8016,Square Louis XVI,14
48003,Youri Gagarine - Karl Marx,20
16110,Octave Feuillet - Albéric Magnard,11
18134,Ney - Porte de Clignancourt,6
5005,Gay Lussac - Saint-Jacques,21
43009,Place Jean-Spire-Lemaître,37
8053,Place Georges Guillaumin,23
9001,Bellefond - Poissonnière,13
17032,Jean Oestreicher - Porte de Champerret,11
21026,Sèvres - Général Leclerc,23
